date,ticker,action,quantity,price,pnl,commission,slippage,market_impact,stop_type
2022-01-03,MMM,SELL,3.0,128.6676787042408,-3.863009965243691e-07,0.9650075912475586,0.38600303649902346,0.00029799668837293284,
2022-01-03,AOS,SELL,6.0,78.4665984322017,-4.7124288471422915e-07,1.176998977661133,0.4707995910644531,0.0004433045098929126,
2022-01-03,ABT,SELL,3.0,130.1513365396689,-3.9075891322681855e-07,0.9761350250244141,0.39045401000976565,0.00030490866786541234,
2022-01-03,ABBV,SELL,4.0,118.63706958339877,-4.749986715069099e-07,1.1863706970214845,0.47454827880859374,0.00045039213784039766,
2022-01-03,ACN,SELL,1.0,385.6309810593841,-3.859283879137365e-07,0.9640774536132812,0.3856309814453125,0.00029742250770094995,
2022-01-03,AMD,SELL,3.0,150.24000534278863,-4.511262829964835e-07,1.1268000411987305,0.45072001647949217,0.00040629706651054747,
2022-01-03,AES,SELL,23.0,21.327077844252585,-4.910040161121287e-07,1.2263069772720336,0.4905227909088135,0.00048122521680194304,
2022-01-03,AFL,SELL,9.0,53.72379679070667,-4.839817506763211e-07,1.2087854290008546,0.4835141716003418,0.0004675719082767296,
2022-01-03,A,SELL,3.0,152.62591537457806,-4.5829708028577443e-07,1.1446943664550782,0.4578777465820313,0.00041930406163007773,
2022-01-03,APD,SELL,1.0,270.670379367855,-2.7081688358521205e-07,0.6766759490966797,0.27067037963867185,0.00014652490882748553,
2022-01-03,ABNB,SELL,2.0,172.67999250298197,-3.4559855066618184e-07,0.8633999633789062,0.3453599853515625,0.0002385470389640629,
2022-01-03,AKAM,SELL,4.0,117.51000201861,-4.704818934442301e-07,1.1751000213623046,0.4700400085449219,0.00044187521926582045,
2022-01-03,ALB,SELL,2.0,226.78007484625638,-4.5397160874927067e-07,1.133900375366211,0.4535601501464844,0.0004114336196018029,
2022-01-03,ARE,SELL,2.0,188.7998960512919,-3.7788493045809446e-07,0.9439994812011719,0.37759979248046877,0.0002851632065625861,
2022-01-03,ALLE,SELL,4.0,122.9892805775733,-4.924411882711865e-07,1.229892807006836,0.4919571228027344,0.0004840436213526893,
2022-01-03,LNT,SELL,9.0,54.1026763374462,-4.873982817343858e-07,1.2173102188110352,0.4869240875244141,0.0004741901340229665,
2022-01-03,ALL,SELL,4.0,108.39791096328543,-4.3396767068770714e-07,1.0839791107177734,0.4335916442871094,0.0003760034279911984,
2022-01-03,GOOGL,SELL,3.0,144.12712082742794,-4.3275522898511554e-07,1.0809534072875977,0.4323813629150391,0.00037390728599253346,
2022-01-03,GOOG,SELL,3.0,144.21723923554077,-4.330261162976967e-07,1.0816292953491211,0.4326517181396484,0.0003743750184183796,
2022-01-03,MO,SELL,13.0,36.122898065649814,-4.700387492562186e-07,1.173994188308716,0.46959767532348634,0.00044104395333844504,
2022-01-03,AMZN,SELL,2.0,170.40449506873716,-3.4104130008927314e-07,0.8520224761962891,0.34080899047851565,0.00023230153598196988,
2022-01-03,AMCR,SELL,48.0,10.207474698339652,-4.904388788418146e-07,1.2248969650268555,0.4899587860107422,0.00048011922397824057,
2022-01-03,AEE,SELL,6.0,79.68642417560847,-4.785757710124017e-07,1.1952963638305665,0.47811854553222655,0.0004571946871637036,
2022-01-03,AEP,SELL,6.0,77.67205802772429,-4.664667585529969e-07,1.1650808715820313,0.4660323486328125,0.00043437229994443066,
2022-01-03,AXP,SELL,3.0,160.78684981464397,-4.828258965972054e-07,1.2059013748168945,0.4823605499267578,0.0004653434002512884,
2022-01-03,AIG,SELL,9.0,53.06424326353546,-4.780343800803166e-07,1.1939454746246339,0.4775781898498535,0.0004561618548405254,
2022-01-03,AMT,SELL,1.0,256.86605809261135,-2.569980210864742e-07,0.6421651458740234,0.2568660583496094,0.00013196034386412986,
2022-01-03,AWK,SELL,2.0,171.40605146421862,-3.4304713381061447e-07,0.8570302581787109,0.34281210327148437,0.00023504027629883773,
2022-01-03,AMP,SELL,1.0,288.6051022502908,-2.887716732402623e-07,0.7215127563476562,0.2886051025390625,0.00016658581042316558,
2022-01-03,AME,SELL,3.0,140.36199937123854,-4.21440631726e-07,1.0527149963378906,0.42108599853515627,0.00035462683632469925,
2022-01-03,AMGN,SELL,2.0,202.71482828833174,-4.0575838511358597e-07,1.0135741424560547,0.4054296569824219,0.0003287464135217685,
2022-01-03,APH,SELL,11.0,41.8034057198769,-4.602603596026711e-07,1.1495936584472657,0.45983746337890624,0.0004229009854534939,
2022-01-03,ADI,SELL,3.0,166.27957136675766,-4.993363802441309e-07,1.2470967864990234,0.4988387145996094,0.0004976801263667811,
2022-01-03,ANSS,SELL,1.0,395.48998983857217,-3.9580282873430406e-07,0.9887249755859375,0.39548999023437503,0.0003128246647511721,
2022-01-03,AON,SELL,1.0,286.45748872705025,-2.866216277652711e-07,0.7161437225341797,0.2864574890136719,0.00016411578602403587,
2022-01-03,APA,SELL,19.0,25.357059453378273,-4.822483568034386e-07,1.2044603252410888,0.48178413009643556,0.00046423189602555834,
2022-01-03,APO,SELL,7.0,66.68681328774312,-4.67243467028311e-07,1.1670192337036134,0.4668076934814453,0.00043581884538693405,
2022-01-03,AAPL,SELL,2.0,178.6456297040392,-3.575465825633728e-07,0.8932281494140625,0.357291259765625,0.00025531408860981466,
2022-01-03,AMAT,SELL,3.0,154.99023421986564,-4.6540307607756404e-07,1.1624267578125,0.464970703125,0.0004323955095291138,
2022-01-03,APTV,BUY,3.0,166.02999894549228,0.0,1.2452249908447266,0.49808999633789064,0.0004961872889037598,
2022-01-03,ACGL,SELL,11.0,42.362529712236665,-4.664220796257723e-07,1.1649695682525636,0.4659878273010254,0.0004342893103854606,
2022-01-03,ADM,SELL,8.0,61.52281945745959,-4.926670271743205e-07,1.2304563903808594,0.49218255615234374,0.00048448733716131007,
2022-01-03,ANET,SELL,14.0,35.56000133769561,-4.983356802767958e-07,1.2446000480651855,0.49784001922607424,0.0004956893694860358,
2022-01-03,AJG,SELL,3.0,161.00270064450584,-4.834746789583733e-07,1.2075202560424805,0.4830081024169922,0.00046659365400092726,
2022-01-03,AIZ,SELL,3.0,146.96249374939228,-4.412762848460261e-07,1.1022187042236329,0.44088748168945313,0.00038876354302093576,
2022-01-03,T,SELL,32.0,15.411717399429039,-4.936613891004527e-07,1.2329373931884766,0.4931749572753906,0.0004864430769671668,
2022-01-03,ATO,SELL,5.0,96.1274565688192,-4.810993203818725e-07,1.2015932083129883,0.48063728332519534,0.0004620243962444482,
2022-01-03,ADSK,SELL,1.0,283.72000093682215,-2.838809791683161e-07,0.7093000030517578,0.2837200012207031,0.00016099407818535155,
2022-01-04,MMM,SELL,3.0,130.47021471317765,2.7038036243962438,0.978526611328125,0.39141064453125,0.0003064045853047371,
2022-01-04,AOS,SELL,6.0,79.77172843577691,3.915389535559882,1.196575927734375,0.47863037109375,0.0004581740642666817,
2022-01-04,ABT,SELL,3.0,127.09041582740251,-4.59138145456005,0.9531781196594239,0.38127124786376954,0.000290735528895192,
2022-01-04,ABBV,SELL,4.0,118.40931689808008,-0.45550584517968673,1.1840931701660156,0.47363726806640627,0.00044866452340281755,
2022-01-04,ACN,SELL,1.0,382.87521323987846,-1.377884294301225,0.9571880340576172,0.3828752136230469,0.00029318685841378756,
